"No","Gender","Age","Education Level","Institution Type","Financial Condition","Internet Type","Self Lms","Device","Adaptivity Level"
"1001","Boy","21-25","University","Non Government","Mid","Wifi","No","Tab","Moderate"
"1002","Girl","21-25","University","Non Government","Mid","Mobile Data","Yes","Mobile","Moderate"
"1003","Girl","16-20","College","Government","Mid","Wifi","No","Mobile","Moderate"
"1004","Girl","11-15","School","Non Government","Mid","Mobile Data","No","Mobile","Moderate"
"1005","Girl","16-20","School","Non Government","Poor","Mobile Data","No","Mobile","Low"
"1006","Boy","11-15","School","Non Government","Poor","Mobile Data","No","Mobile","Low"
"1007","Boy","11-15","School","Non Government","Mid","Wifi","No","Mobile","Low"
"1008","Boy","11-15","School","Non Government","Mid","Wifi","No","Mobile","Moderate"
"1009","Boy","16-20","College","Government","Mid","Wifi","No","Mobile","Low"
"1010","Boy","11-15","School","Non Government","Mid","Mobile Data","No","Mobile","Moderate"
"1011","Girl","16-20","University","Government","Mid","Wifi","No","Mobile","Low"
"1012","Girl","16-20","College","Non Government","Mid","Wifi","No","Mobile","Low"
"1013","Boy","11-15","School","Non Government","Mid","Mobile Data","No","Mobile","Moderate"
"1014","Girl","16-20","College","Non Government","Mid","Wifi","No","Mobile","Low"
"1015","Girl","11-15","School","Non Government","Poor","Mobile Data","No","Mobile","Moderate"
"1016","Boy","11-15","School","Non Government","Poor","Wifi","No","Mobile","Low"
"1017","Girl","26-30","University","Government","Poor","Mobile Data","No","Computer","Low"
"1018","Girl","21-25","University","Government","Mid","Wifi","No","Mobile","Low"
"1019","Girl","16-20","College","Non Government","Mid","Wifi","No","Mobile","Low"
"1020","Girl","16-20","College","Non Government","Mid","Wifi","No","Mobile","Moderate"
"1021","Girl","6-10","School","Non Government","Rich","Wifi","No","Mobile","High"
"1022","Boy","6-10","School","Government","Mid","Mobile Data","No","Mobile","Low"
"1023","Girl","16-20","College","Non Government","Mid","Mobile Data","Yes","Mobile","Low"
"1024","Girl","11-15","School","Non Government","Mid","Mobile Data","No","Mobile","Moderate"
"1025","Boy","16-20","College","Government","Mid","Wifi","No","Mobile","Moderate"
"1026","Boy","11-15","School","Non Government","Mid","Mobile Data","No","Mobile","Moderate"
"1027","Girl","1-5","School","Non Government","Mid","Mobile Data","No","Mobile","Moderate"
"1028","Boy","26-30","University","Non Government","Mid","Wifi","No","Computer","Moderate"
"1029","Girl","1-5","School","Non Government","Mid","Mobile Data","No","Mobile","Moderate"
"1030","Girl","16-20","College","Non Government","Mid","Wifi","No","Mobile","Moderate"
"1031","Girl","6-10","School","Non Government","Mid","Mobile Data","No","Mobile","Moderate"
"1032","Girl","16-20","College","Non Government","Mid","Mobile Data","No","Mobile","Low"
"1033","Boy","21-25","University","Non Government","Mid","Mobile Data","No","Mobile","Moderate"
"1034","Girl","16-20","College","Non Government","Mid","Wifi","No","Mobile","Moderate"
"1035","Boy","11-15","School","Non Government","Poor","Mobile Data","No","Mobile","Low"
